Instance-CreditSpec-Kernel,Cost Runtime 1,Cost Runtime 2,Cost Runtime 3,Cost Runtime 4,Cost Runtime 5,Average Cost,Std. Deviation Cost
T3a-S-IS,"0,82","0,84","0,57","0,85","0,49","0,82","0,17"
T3a-S-EP,"7,43","5,05","6,04","5,05","4,24","5,05","1,22"
T3a-S-CG,"8,65","4,47","6,74","5,49","7,62","6,74","1,66"
T3a-S-LU,"61,22","61,90","62,56","79,95","76,15","62,56","8,96"
T3a-S-SP,"74,04","72,72","74,97","75,39","66,63","74,04","3,57"
T3a-S-BT,"75,26","71,86","76,71","74,40","76,28","75,26","1,92"
T3a-S-MG,"3,11","3,36","4,15","4,58","4,21","4,15","0,62"
T3a-S-FT,"8,04","8,85","8,28","7,90","9,28","8,28","0,58"
T3a-U-IS,"0,48","0,46","0,46","0,47","0,47","0,47","0,01"
T3a-U-EP,"4,30","4,34","4,43","4,36","4,39","4,36","0,05"
T3a-U-CG,"4,01","4,01","4,01","4,10","4,05","4,01","0,04"
T3a-U-LU,"38,02","38,89","37,97","39,92","42,25","38,89","1,77"
T3a-U-SP,"55,24","52,73","53,04","53,67","55,09","53,67","1,16"
T3a-U-BT,"54,90","54,59","54,86","56,71","58,08","54,90","1,52"
T3a-U-MG,"2,28","2,61","2,27","2,28","2,22","2,28","0,16"
T3a-U-FT,"6,24","5,86","5,93","5,88","5,99","5,93","0,16"
T3a-U-FT,"0,32","0,29","0,30","0,32","0,34","0,32","0,02"
T3-S-IS,"0,36","0,32","0,34","0,35","0,38","0,35","0,02"
T3-S-EP,"2,69","2,23","2,33","2,47","2,69","2,47","0,21"
T3-S-CG,"9,95","7,99","7,47","8,25","10,02","8,25","1,18"
T3-S-LU,"82,25","95,21","78,84","70,25","77,21","78,84","9,19"
T3-S-SP,"60,77","61,04","68,66","59,86","66,71","61,04","3,99"
T3-S-BT,"66,33","67,80","70,30","58,37","62,41","66,33","4,70"
T3-S-MG,"1,97","2,55","1,84","1,96","4,91","1,97","1,30"
T3-S-FT,"8,68","8,94","9,37","5,66","7,63","8,68","1,48"
T3-U-IS,"0,38","0,52","0,73","0,32","0,41","0,41","0,16"
T3-U-EP,"2,21","2,57","2,51","2,29","2,36","2,36","0,15"
T3-U-CG,"4,81","4,52","5,66","4,57","5,81","4,81","0,62"
T3-U-LU,"77,72","60,57","109,61","62,04","98,35","77,72","21,82"
T3-U-SP,"67,65","70,59","71,25","58,72","60,92","67,65","5,70"
T3-U-BT,"60,62","75,87","57,15","59,06","64,75","60,62","7,46"
T3-U-MG,"3,75","2,22","3,35","1,74","1,86","2,22","0,91"
T3-U-FT,"6,68","6,22","7,29","6,53","8,77","6,68","1,01"
T4-S-IS,"0,17","0,17","0,17","0,17","0,13","0,17","0,02"
T4-S-EP,"2,47","2,53","2,46","2,51","2,01","2,47","0,22"
T4-S-CG,"5,17","5,37","5,12","5,15","3,91","5,15","0,59"
T4-S-LU,"45,89","45,86","45,89","45,93","45,19","45,89","0,31"
T4-S-SP,"92,70","92,55","92,74","92,62","92,62","92,62","0,07"
T4-S-BT,"75,34","75,38","75,26","75,34","75,23","75,34","0,06"
T4-S-MG,"1,85","1,86","1,85","1,85","1,84","1,85","0,01"
T4-S-FT,"4,90","4,93","4,89","4,89","4,90","4,90","0,01"
T4-U-IS,"0,13","0,13","0,13","0,13","0,14","0,13","0,004"
T4-U-EP,"2,00","1,95","1,98","1,95","2,00","1,98","0,02"
T4-U-CG,"3,85","3,98","4,08","4,10","4,38","4,08","0,20"
T4-U-LU,"35,33","35,91","35,58","36,78","35,85","35,85","0,55"
T4-U-SP,"72,40","72,93","73,23","73,46","72,78","72,93","0,41"
T4-U-BT,"58,80","58,84","59,34","58,90","59,03","58,90","0,22"
T4-U-MG,"1,46","1,49","1,45","1,49","1,40","1,46","0,04"
T4-U-FT,"3,92","4,00","3,88","3,90","3,87","3,90","0,05"
M5a-IS,"0,41","0,41","0,41","0,41","0,41","0,41","0,001"
M5a-EP,"3,85","3,86","3,86","3,85","3,86","3,86","0,003"
M5a-CG,"3,44","3,40","3,40","3,40","3,39","3,40","0,02"
M5a-LU,"32,52","32,68","32,47","32,74","32,55","32,55","0,11"
M5a-SP,"45,18","45,35","45,14","45,17","45,21","45,18","0,08"
M5a-BT,"45,89","45,60","45,65","46,06","45,53","45,65","0,22"
M5a-MG,"1,97","2,01","1,98","2,02","1,98","1,98","0,02"
M5a-FT,"5,22","5,24","5,25","5,23","5,25","5,24","0,01"
M5-IS,"0,19","0,19","0,19","0,19","0,19","0,19","0,0003"
M5-EP,"1,58","1,58","1,58","1,58","1,58","1,58","0,002"
M5-CG,"2,40","2,27","2,46","2,43","2,36","2,40","0,07"
M5-LU,"21,39","21,31","21,41","21,43","21,37","21,39","0,05"
M5-SP,"30,49","30,44","30,42","30,50","30,45","30,45","0,04"
M5-BT,"30,88","30,83","30,93","31,42","30,87","30,88","0,24"
M5-MG,"1,09","1,09","1,09","1,09","1,09","1,09","0,002"
M5-FT,"3,62","3,62","3,62","3,65","3,62","3,62","0,013"
M6g-IS,"0,13","0,13","0,13","0,13","0,13","0,13","0,0003"
M6g-EP,"1,94","1,94","1,94","1,94","1,94","1,94","0,0003"
M6g-CG,"4,57","3,64","3,72","3,63","3,69","3,69","0,40"
M6g-LU,"35,19","35,19","35,21","35,20","35,22","35,20","0,01"
M6g-SP,"70,93","71,01","70,92","70,90","70,99","70,93","0,04"
M6g-BT,"58,34","58,33","58,34","58,33","58,29","58,33","0,02"
M6g-MG,"1,37","1,37","1,37","1,37","1,37","1,37","0,003"
M6g-FT,"3,80","3,79","3,79","3,79","3,79","3,79","0,00"
