instance_type,nodes,execution_time_in_seconds,is_spot,restart_time
t3.2xlarge,1,2.6,true,0
t3.2xlarge,2,8.8,true,0
t3.2xlarge,4,16.6,true,0
t3.2xlarge,8,39.3,true,0
c5.2xlarge,1,3.5,true,0
c5.2xlarge,2,10.2,true,0
c5.2xlarge,4,18.6,true,0
c5.2xlarge,8,42.7,true,0
i3.2xlarge,1,2.5,true,0
i3.2xlarge,2,13.8,true,0
i3.2xlarge,4,17.9,true,0
i3.2xlarge,8,38.8,true,0
vhp-8c-16gb,1,1.9,true,0
vhp-8c-16gb,2,13.6,true,0
vhp-8c-16gb,4,18.1,true,0
vhp-8c-16gb,8,37.0,true,0
vbm-6c-32gb,1,1.7,true,0
vbm-6c-32gb,2,11.0,true,0
vbm-6c-32gb,4,19.0,true,0
vbm-6c-32gb,8,28.0,true,0
r6idn.16xlarge,1,1.1,true,0