cluster_config,nodes,execution_time,is_spot,is_fsx,restart_time
fisica_01,1,1091,false,false,0
fisica_01,1,1096,false,false,0
fisica_01,1,1086,false,false,0
fisica_01,2,940,false,false,0
fisica_01,2,943,false,false,0
fisica_01,2,937,false,false,0
fisica_01,3,889,false,false,0
fisica_01,3,890,false,false,0
fisica_01,3,888,false,false,0
fisica_01,4,846,false,false,0
fisica_01,4,845,false,false,0
fisica_01,4,844,false,false,0
on_demand,1,1357,false,false,0
on_demand,1,1359,false,false,0
on_demand,1,1358,false,false,0
on_demand,2,1239,false,false,0
on_demand,2,1240,false,false,0
on_demand,2,1236,false,false,0
on_demand,3,1178,false,false,0
on_demand,3,1177,false,false,0
on_demand,3,1179,false,false,0
on_demand,4,1150,false,false,0
on_demand,4,1151,false,false,0
on_demand,4,1154,false,false,0
spot,1,1362,true,false,44
spot,1,1361,true,false,45
spot,1,1360,true,false,45
spot,2,1239,true,false,46
spot,2,1240,true,false,45
spot,2,1238,true,false,45
spot,3,1178,true,false,44
spot,3,1179,true,false,46
spot,3,1176,true,false,45
spot,4,1150,true,false,46
spot,4,1149,true,false,45
spot,4,1148,true,false,45
efa,1,1431,true,false,43
efa,1,1431,true,false,44
efa,1,1433,true,false,42
efa,2,1240,true,false,43
efa,2,1239,true,false,42
efa,2,1241,true,false,44
efa,3,1181,true,false,43
efa,3,1183,true,false,41
efa,3,1178,true,false,42
efa,4,1126,true,false,43
efa,4,1124,true,false,42
efa,4,1125,true,false,45
fsx,1,1390,true,true,33
fsx,1,1391,true,true,33
fsx,1,1388,true,true,31
fsx,2,1225,true,true,33
fsx,2,1226,true,true,33
fsx,2,1224,true,true,33
fsx,3,1162,true,true,32
fsx,3,1164,true,true,32
fsx,3,1166,true,true,33
fsx,4,1116,true,true,33
fsx,4,1117,true,true,32
fsx,4,1114,true,true,31